"start_offset","end_offset","length"
"0x2156A","0x2156C","2"
"0x2156E","0x21570","2"
"0x21748","0x2174A","2"
"0x21754","0x21756","2"
"0x2175C","0x2175E","2"
"0x21760","0x21762","2"
"0x21764","0x21766","2"
"0x2176A","0x2176C","2"
"0x2176E","0x21770","2"
"0x21776","0x21778","2"
"0x21780","0x21782","2"
"0x21784","0x21788","4"
"0x217A2","0x217A4","2"
"0x217A6","0x217A8","2"
"0x217AA","0x217AC","2"
"0x217AE","0x217B0","2"
"0x217B2","0x217B4","2"
"0x217D0","0x217D2","2"
"0x217E2","0x217E4","2"
"0x217E6","0x217E8","2"
"0x217EE","0x217F0","2"
"0x217F4","0x217F6","2"
"0x217FC","0x217FE","2"
"0x21800","0x21802","2"
"0x21804","0x21806","2"
"0x21808","0x2180A","2"
"0x21810","0x21812","2"
"0x21814","0x21816","2"
"0x21818","0x2181A","2"
"0x2181C","0x2181E","2"
"0x21822","0x2182A","8"
"0x21830","0x21832","2"
"0x21838","0x2183A","2"
"0x21846","0x21848","2"
"0x21852","0x21854","2"
"0x2185E","0x21860","2"
"0x2186A","0x2186C","2"
"0x21876","0x21878","2"
"0x21894","0x21896","2"
"0x21898","0x2189A","2"
"0x218A0","0x218A2","2"
"0x218A8","0x218AA","2"
"0x218B0","0x218B2","2"
"0x218B4","0x218B6","2"
"0x21A90","0x21A94","4"
"0x21A9A","0x21A9C","2"
"0x21AA4","0x21AA6","2"
"0x21AC6","0x21AC8","2"
"0x21AD0","0x21AD2","2"
"0x21AD8","0x21ADA","2"
"0x21ADC","0x21ADE","2"
"0x21AE0","0x21AE2","2"
"0x21B0E","0x21B16","8"
"0x21B66","0x21B6A","4"
"0x21B70","0x21B72","2"
"0x21B7A","0x21B7C","2"
"0x21B7E","0x21B82","4"
"0x21B92","0x21B94","2"
"0x21B9C","0x21B9E","2"
"0x21BA6","0x21BA8","2"
"0x21BB6","0x21BB8","2"
"0x21BC0","0x21BC2","2"
"0x21BCE","0x21BD0","2"
"0x21BD2","0x21BD4","2"
"0x21BDE","0x21BE0","2"
"0x21BE2","0x21BE4","2"
"0x21BF2","0x21BF4","2"
"0x21BF6","0x21BF8","2"
"0x21C00","0x21C02","2"
"0x21C0C","0x21C0E","2"
"0x21C10","0x21C12","2"
"0x21C14","0x21C16","2"
"0x21C18","0x21C1A","2"
"0x21C3E","0x21C40","2"
"0x21C42","0x21C44","2"
"0x21C4C","0x21C4E","2"
"0x21C52","0x21C54","2"
"0x21C5E","0x21C60","2"
"0x21C74","0x21C78","4"
"0x21C9C","0x21C9E","2"
"0x21CA0","0x21CA2","2"
"0x21CA4","0x21CA6","2"
"0x21CA8","0x21CAA","2"
"0x21CAC","0x21CAE","2"
"0x21CB8","0x21CBA","2"
"0x21CBE","0x21CC0","2"
"0x21CC2","0x21CC4","2"
"0x21CC8","0x21CCA","2"
"0x21CCC","0x21CCE","2"
"0x21CDE","0x21CE6","8"
"0x21D02","0x21D04","2"
"0x21D06","0x21D08","2"
"0x21D0A","0x21D0C","2"
"0x21D0E","0x21D10","2"
"0x21D12","0x21D14","2"
"0x21D16","0x21D18","2"
"0x21D22","0x21D24","2"
"0x21D26","0x21D28","2"
"0x21D2A","0x21D2C","2"
"0x21D2E","0x21D30","2"
"0x21D32","0x21D34","2"
"0x21D3C","0x21D3E","2"
"0x21D42","0x21D44","2"
"0x21D4A","0x21D4C","2"
"0x21D4E","0x21D52","4"
"0x21D5E","0x21D60","2"
"0x21D64","0x21D66","2"
"0x21D68","0x21D6A","2"
"0x21D6E","0x21D74","6"
"0x21D76","0x21D78","2"
"0x21D9A","0x21D9C","2"
"0x21D9E","0x21DA0","2"
"0x21DA2","0x21DA4","2"
"0x21DA6","0x21DA8","2"
"0x21DAA","0x21DAC","2"
"0x21DB4","0x21DB6","2"
"0x21DB8","0x21DBA","2"
"0x21DBE","0x21DC0","2"
"0x21DC4","0x21DC6","2"
"0x21DCA","0x21DCC","2"
"0x21DD0","0x21DD4","4"
"0x21DD6","0x21DD8","2"
"0x21DDA","0x21DDC","2"
"0x21DDE","0x21DE0","2"
"0x21DE2","0x21DE4","2"
"0x21E04","0x21E08","4"
"0x21E0C","0x21E0E","2"
"0x21E14","0x21E16","2"
"0x21E1C","0x21E20","4"
"0x21E26","0x21E28","2"
"0x21E2E","0x21E32","4"
"0x21E3E","0x21E40","2"
"0x21E4E","0x21E50","2"
"0x21E5C","0x21E5E","2"
"0x21E62","0x21E64","2"
"0x21E6C","0x21E6E","2"
"0x21E76","0x21E78","2"
"0x21E7E","0x21E80","2"
"0x21E86","0x21E8A","4"
"0x21E8C","0x21E8E","2"
"0x21E92","0x21E94","2"
"0x21E96","0x21E98","2"
"0x21E9E","0x21EA0","2"
"0x21EA2","0x21EA4","2"
"0x21EBC","0x21EBE","2"
"0x21EC0","0x21EC2","2"
"0x21EC4","0x21EC6","2"
"0x21EC8","0x21ECA","2"
"0x21ECE","0x21ED0","2"
"0x21ED2","0x21ED4","2"
"0x21ED6","0x21ED8","2"
"0x21EDA","0x21EDC","2"
"0x21EE0","0x21EE2","2"
"0x21EE4","0x21EE6","2"
"0x21EE8","0x21EEA","2"
"0x21EEC","0x21EEE","2"
"0x21F0A","0x21F0C","2"
"0x21F10","0x21F12","2"
"0x21F1A","0x21F1C","2"
"0x21F24","0x21F26","2"
"0x21F2C","0x21F2E","2"
"0x21F32","0x21F36","4"
"0x21F38","0x21F3A","2"
"0x21F3E","0x21F40","2"
"0x21F42","0x21F44","2"
"0x21F46","0x21F48","2"
"0x21F4A","0x21F4C","2"
"0x21F5A","0x21F5C","2"
"0x21F5E","0x21F60","2"
"0x21F64","0x21F66","2"
"0x21F68","0x21F6A","2"
"0x21F6C","0x21F6E","2"
"0x21F70","0x21F76","6"
"0x21F7A","0x21F7C","2"
"0x21F7E","0x21F80","2"
"0x21F82","0x21F84","2"
"0x21F86","0x21F88","2"
"0x21F8A","0x21F8E","4"
"0x21F9C","0x21F9E","2"
